//X,Y,Z,R,G,B,C2C absolute distances (Z),C2C absolute distances,C2C absolute distances (X),C2C absolute distances (Y)
10812
0.5757427216,1.7019244432,0.1238230243,255,229,0,-0.00059698,0.00066888,0.00012273,-0.00027561
0.5757408738,1.7231255770,0.1263148487,255,216,0,-0.00035515,0.00043774,0.00012088,0.00022554
0.5757392645,1.7444254160,0.1260666251,255,217,0,0.00016662,0.00030464,0.00011927,0.00022542
0.5757380128,1.7657243013,0.1232583970,255,232,0,-0.00062160,0.00079155,0.00011802,-0.00047565
0.5757364035,1.7870242596,0.1231501848,255,232,0,-0.00096981,0.00098464,0.00011641,0.00012422
0.5757350922,1.8083231449,0.1203459650,255,247,0,-0.00109404,0.00110694,0.00011510,0.00012314
0.5757340789,1.8295209408,0.1147537827,233,255,0,-0.00061622,0.00063165,0.00011408,-0.00007904
0.5757338405,1.8508161306,0.1019245610,166,255,0,0.00027456,0.00030885,0.00011384,-0.00008392
0.5757343173,1.8721083403,0.0820473433,63,255,0,0.00027734,0.00059022,0.00011432,0.00050831
0.5757324100,1.8934096098,0.0851821229,80,255,0,-0.00147188,0.00165440,-0.00055760,0.00050962
0.5757289529,1.9146163464,0.1026269421,170,255,0,0.00018694,0.00279064,0.00143898,-0.00238371
0.5757255554,1.9359230995,0.1200717166,255,248,0,0.00001172,0.00034007,0.00010556,0.00032306
0.5757231712,1.9572259188,0.1274445057,255,210,0,-0.00001550,0.00024883,0.00010318,0.00022590
0.5757216215,1.9785258770,0.1271662712,255,211,0,-0.00070372,0.00085459,0.00010163,-0.00047410
0.5757203698,1.9998242855,0.1233780608,255,231,0,-0.00007194,0.00017524,0.00010037,0.00012434
0.5757188201,2.0210239887,0.1231498793,255,232,0,-0.00046012,0.00047123,0.00009882,0.00002408
0.5757171512,2.0423245430,0.1241916567,255,226,0,-0.00144835,0.00145356,0.00009716,-0.00007534
0.5757156014,2.0636241436,0.1234134361,255,231,0,-0.00177657,0.00202189,-0.00057441,-0.00077581
0.5757145882,2.0849218369,0.1179072186,250,255,0,-0.00156278,0.00183820,-0.00057542,-0.00077820
0.5757144690,2.1061165333,0.1035750359,175,255,0,-0.00029496,0.00161358,0.00009447,-0.00158358
0.5757160783,2.1274049282,0.0736808181,20,255,0,-0.00027018,0.00104505,0.00009608,0.00100493
0.5757118464,2.1487145424,0.0987495929,151,255,0,0.00041460,0.00107299,0.00009185,-0.00098538
0.5757080913,2.1700224876,0.1191333756,255,252,0,0.00105338,0.00112241,0.00008810,-0.00037742
0.5757056475,2.1913254261,0.1271741688,255,210,0,0.00101417,0.00104247,0.00008565,0.00022554
0.5757037997,2.2125267982,0.1300159693,255,195,0,-0.00079402,0.00080845,0.00008380,0.00012684
0.5757021904,2.2338263988,0.1295877695,255,198,0,-0.00085223,0.00085659,0.00008219,0.00002646
