//X,Y,Z,R,G,B,C2C absolute distances (Z),C2C absolute distances,C2C absolute distances (X),C2C absolute distances (Y)
43044
0.5769317746,0.4168959260,0.1334940642,255,189,0,-0.00075594,0.00075691,-0.00002825,0.00002593
0.5769308805,0.4275758266,0.1329026520,255,192,0,-0.00089735,0.00089819,-0.00002915,0.00002584
0.5769301653,0.4382556081,0.1311712414,255,201,0,-0.00058876,0.00059059,-0.00002986,0.00003561
0.5769293308,0.4489354491,0.1299898326,255,207,0,-0.00081016,0.00081202,-0.00003070,0.00004545
0.5769287348,0.4596150815,0.1271684170,255,221,0,-0.00089158,0.00108352,-0.00003129,-0.00061491
0.5769284964,0.4702942967,0.1213870049,255,250,0,-0.00048300,0.00077534,-0.00003153,-0.00060570
0.5769279003,0.4809739292,0.1183796003,244,255,0,-0.00087040,0.00105543,-0.00003213,-0.00059608
0.5769276619,0.4916531742,0.1128341779,216,255,0,-0.00047582,0.00048250,-0.00003237,0.00007316
0.5769263506,0.5023235679,0.1158687770,231,255,0,0.00033878,0.00034830,-0.00003368,0.00007355
0.5769253373,0.5130035877,0.1162053570,233,255,0,-0.00131464,0.00249239,-0.00203466,-0.00058639
0.5769233704,0.5236846805,0.1244299486,255,235,0,-0.00419005,0.00424841,-0.00069666,0.00008470
0.5769213438,0.5343657732,0.1327585429,255,193,0,0.00085855,0.00086474,-0.00003868,0.00009578
0.5769204497,0.5450457335,0.1327071190,255,193,0,-0.00051288,0.00052516,-0.00003958,0.00010574
0.5769193172,0.5557259321,0.1338857114,255,187,0,-0.00045429,0.00047061,-0.00004071,0.00011593
0.5769183040,0.5664060116,0.1342943013,255,185,0,-0.00019570,0.00023646,-0.00004172,0.00012600
0.5769174695,0.5770858526,0.1334528923,255,189,0,-0.00022711,0.00026310,-0.00004256,0.00012583
0.5769166946,0.5877656341,0.1318814754,255,197,0,-0.00036852,0.00039508,-0.00004333,0.00013566
0.5769160986,0.5984453559,0.1291900724,255,210,0,-0.00047992,0.00050338,-0.00004393,0.00014538
0.5769155025,0.6091149449,0.1260986477,255,226,0,-0.00029135,0.00060212,-0.00004452,-0.00052506
0.5769149065,0.6197944880,0.1232872456,255,240,0,-0.00049275,0.00051837,-0.00004512,0.00015450
0.5769141316,0.6304743886,0.1220158339,255,247,0,-0.00027417,0.00031797,-0.00004590,0.00015438
0.5769132376,0.6411542892,0.1213444248,255,250,0,-0.00043558,0.00046787,-0.00004679,0.00016427
0.5769122243,0.6518343687,0.1220030040,255,247,0,-0.00001699,0.00018158,-0.00004780,0.00017434
0.5769112110,0.6625145078,0.1229716018,255,242,0,0.00009160,0.00021173,-0.00004882,0.00018454
0.5769098401,0.6731949449,0.1262301803,255,225,0,-0.00044982,0.00049282,-0.00005019,0.00019497
0.5769088268,0.6838749647,0.1266487688,255,223,0,-0.00009122,0.00022126,-0.00005120,0.00019497
0.5769079328,0.6945549250,0.1260773540,255,226,0,-0.00028265,0.00035298,-0.00005209,0.00020492
0.5769071579,0.7052347660,0.1248159483,255,233,0,-0.00046404,0.00051405,-0.00005287,0.00021476
0.5769066215,0.7159042954,0.1212045401,255,251,0,0.00003454,0.00022352,-0.00005341,0.00021428
0.5769055486,0.7265843749,0.1222731248,255,246,0,0.00039312,0.00059672,-0.00005448,-0.00044560
0.5769044757,0.7372645736,0.1233817190,255,240,0,-0.00111828,0.00114196,-0.00005555,0.00022459
0.5769065022,0.7479413748,0.0990563035,147,255,0,0.00061931,0.00075506,-0.00005352,-0.00042862
0.5769057274,0.7586211562,0.0978848934,141,255,0,-0.00001711,0.00109034,-0.00005430,-0.00108886
0.5769032240,0.7693028450,0.1105194762,204,255,0,0.00015948,0.00045022,-0.00005680,-0.00041717
0.5769014359,0.7799837589,0.1170930713,237,255,0,-0.00008693,0.00028382,-0.00005859,0.00026375
0.5768997669,0.7906644344,0.1228146553,255,243,0,0.00155465,0.00157813,-0.00006026,0.00026441
0.5768988132,0.8013444543,0.1227532476,255,243,0,-0.00029675,0.00040884,-0.00006121,0.00027448
0.5768978000,0.8120245934,0.1233618334,255,240,0,-0.00003817,0.00029383,-0.00006223,0.00028461
0.5768969059,0.8226944804,0.1227704212,255,243,0,-0.00041958,0.00057329,-0.00006312,-0.00038552
0.5768961906,0.8333742023,0.1207190081,255,253,0,-0.00039099,0.00054606,-0.00006384,-0.00037581
0.5768955350,0.8440539241,0.1186736003,246,255,0,0.00086360,0.00091452,-0.00006449,0.00029391
0.5768943429,0.8547341824,0.1205361858,255,254,0,0.00530618,0.00774706,-0.00006568,0.00564420
0.5768931508,0.8654144406,0.1224447787,255,245,0,0.01169478,0.01674033,-0.01139683,-0.00368553
0.5768919587,0.8760946989,0.1244333610,255,234,0,0.01373336,0.01872153,-0.01139802,0.00565469
0.5768907070,0.8867750168,0.1268519461,255,222,0,0.00466195,0.01376529,0.00861073,-0.00967497
0.5768894553,0.8974552751,0.1289205402,255,212,0,0.00229055,0.00582715,0.00193948,-0.00499475
0.5768883228,0.9081354737,0.1304891258,255,204,0,0.00157912,0.00161174,-0.00007170,-0.00031453
0.5768871903,0.9188157320,0.1319477111,255,197,0,-0.00015229,0.00035676,-0.00007284,-0.00031430
0.5768859386,0.9294859767,0.1343763024,255,184,0,-0.00015369,0.00039474,-0.00007409,0.00035596
0.5768848658,0.9401661158,0.1351448894,255,180,0,-0.00020511,0.00037424,-0.00007516,-0.00030386
0.5768839121,0.9508461952,0.1355734766,255,178,0,0.00015348,0.00034009,-0.00007612,-0.00029379
0.5768827796,0.9615262747,0.1367020756,255,173,0,-0.00036792,0.00047099,-0.00007725,-0.00028372
0.5768817663,0.9722063541,0.1372106522,255,170,0,0.00001065,0.00029445,-0.00007826,-0.00028366
0.5768808722,0.9828863740,0.1368292421,255,172,0,-0.00046076,0.00054171,-0.00007915,-0.00027364
0.5768802762,0.9935659170,0.1339078248,255,186,0,-0.00059217,0.00065328,-0.00007975,-0.00026411
0.5768795609,1.0042457581,0.1319964230,255,196,0,-0.00022358,0.00034802,-0.00008047,-0.00025427
0.5768784285,1.0148960352,0.1335050166,255,189,0,-0.00018498,0.00036508,-0.00008160,-0.00030398
0.5768772364,1.0255962610,0.1352435946,255,180,0,-0.00012641,0.00025365,-0.00008279,-0.00020373
0.5768762231,1.0362962484,0.1356021762,255,178,0,0.00021218,0.00030586,-0.00008380,-0.00020373
0.5768753886,1.0469962358,0.1350107640,255,181,0,-0.00025924,0.00034040,-0.00008464,-0.00020373
0.5768744349,1.0575962067,0.1349193603,255,182,0,-0.00025064,0.00040300,-0.00008559,-0.00030375
0.5768737197,1.0682958364,0.1327679455,255,192,0,-0.00058205,0.00062285,-0.00008631,-0.00020421
0.5768729448,1.0789957047,0.1313365400,255,200,0,-0.00070345,0.00073769,-0.00008708,-0.00020432
0.5768723488,1.0896953344,0.1283651292,255,215,0,-0.00032488,0.00039386,-0.00008768,-0.00020468
0.5768719316,1.1003948450,0.1244337186,255,234,0,-0.00050628,0.00077846,0.00058192,-0.00010514
0.5768718123,1.1109938622,0.1174893156,240,255,0,-0.00005069,0.00022986,-0.00008821,-0.00020611
0.5768715143,1.1216932535,0.1123939008,214,255,0,0.00002390,0.00022613,-0.00008851,-0.00020671
0.5768706799,1.1323931217,0.1113804802,209,255,0,0.00240048,0.00374065,-0.00141931,0.00249314
0.5768693089,1.1430934668,0.1144150645,225,255,0,0.00335506,0.00472726,0.00257933,-0.00210655
0.5768679976,1.1537938118,0.1172926500,239,255,0,0.00020265,0.00024661,-0.00009203,-0.00010622
0.5768667459,1.1643942595,0.1199552491,252,255,0,-0.00005475,0.00023245,-0.00009328,-0.00020576
0.5768656731,1.1750943661,0.1207538322,255,253,0,-0.00028617,0.00036480,-0.00009435,-0.00020564
0.5768646002,1.1857944727,0.1216324195,255,249,0,-0.00021758,0.00025996,-0.00009543,-0.00010550
0.5768637657,1.1964943409,0.1209210083,255,252,0,-0.00007899,0.00016328,-0.00009626,-0.00010562
0.5768629909,1.2070941925,0.1195596084,250,255,0,-0.00048039,0.00053153,-0.00009704,-0.00020576
0.5768623948,1.2177937031,0.1165571958,235,255,0,0.00000720,0.00014454,-0.00009763,-0.00010633
0.5768616796,1.2284934521,0.1145457774,225,255,0,-0.00033423,0.00036433,-0.00009835,-0.00010657
0.5768616199,1.2391924858,0.1075573638,190,255,0,0.00010736,0.00059146,0.00057161,-0.00010753
0.5768604279,1.2498928308,0.1092339456,198,255,0,0.00033394,0.00036459,-0.00009960,-0.00010717
0.5768585801,1.2604937553,0.1164545491,235,255,0,0.00047455,0.00074816,0.00056857,-0.00010622
0.5768558383,1.2711956501,0.1307911277,255,202,0,0.00270113,0.00270515,-0.00010419,-0.00010431
0.5768539310,1.2818967104,0.1384497136,255,164,0,0.00332971,0.00337870,0.00056392,-0.00010324
0.5768525600,1.2925971746,0.1421283036,255,145,0,-0.00019170,0.00021979,-0.00010747,-0.00000286
0.5768514872,1.3032972813,0.1431168914,255,140,0,0.00008689,0.00090368,0.00056148,-0.00070274
0.5768501759,1.3138977289,0.1460154802,255,126,0,-0.00006452,0.00016338,-0.00010985,-0.00010228
